Date,Net_Worth
2024-08-01,2619068
2024-09-01,0
2024-10-01,0
2024-11-01,2889586
2024-12-01,3129516
2025-01-01,3280356
2025-02-01,3001027
2025-03-01,0
2025-04-01,0
2025-05-01,3354461
2025-06-01,3616883
2025-07-01,3745620
2025-08-01,3883497
